,sentiment,sp500_open,sp500_high,sp500_low,sp500_close,sp500_avg_close,sp500_avg_volume,sp500_monthly_return,sp500_intra_volatility,sentiment_z,sp500_close_z,sentiment_pct_change,rolling_corr_12m
1983-08,90.9,162.34,165.91,158.5,164.4,162.4178,74192608.6957,1.1319,4.6751,0.5038,-0.8489,-2.0474,0.9071
1983-09,89.9,164.4,170.41,163.95,166.07,167.1605,82848095.2381,1.0158,3.9402,0.4322,-0.8478,-1.1001,0.9369
1983-10,89.3,165.99,172.65,162.86,163.55,167.6543,85458095.2381,-1.5174,6.0113,0.3892,-0.8494,-0.6674,0.9586
1983-11,91.1,163.55,168.07,161.63,166.4,165.231,86410000.0,1.7426,3.9844,0.5181,-0.8476,2.0157,0.9601
1983-12,94.2,166.37,166.77,161.58,164.93,164.3714,88040952.381,-0.8834,3.212,0.7401,-0.8485,3.4029,0.9521
1984-01,100.1,164.93,169.54,162.03,163.41,166.3929,105507619.0476,-0.9216,4.6349,1.1626,-0.8495,6.2633,0.827
1984-02,97.4,163.41,164.0,152.13,157.06,157.2505,96640500.0,-3.8859,7.8025,0.9693,-0.8537,-2.6973,0.3288
1984-03,101.0,157.06,160.46,153.77,159.18,157.4386,84314545.4545,1.3498,4.3507,1.227,-0.8523,3.6961,-0.6352
1984-04,96.1,159.18,160.69,154.12,160.05,157.6015,85876500.0,0.5466,4.2629,0.8762,-0.8517,-4.8515,-0.6548
1984-05,98.1,160.05,162.11,148.68,150.55,156.5509,88161363.6364,-5.9356,9.0328,1.0194,-0.8579,2.0812,-0.6304
1984-06,95.5,150.55,155.64,148.53,153.18,153.1248,86327142.8571,1.7469,4.7869,0.8332,-0.8562,-2.6504,-0.5717
1984-07,96.6,153.16,153.87,147.26,150.66,151.0781,79152380.9524,-1.6451,4.4887,0.912,-0.8578,1.1518,-0.5493
1984-08,99.1,150.66,168.8,150.66,166.68,164.4209,109866086.9565,10.6332,12.0404,1.091,-0.8474,2.588,-0.3707
1984-09,100.9,166.68,169.65,163.06,166.1,166.1126,93087368.4211,-0.348,4.0415,1.2199,-0.8478,1.8163,-0.1251
1984-10,96.3,166.1,169.62,160.02,166.09,164.8187,91749130.4348,-0.006,5.9992,0.8905,-0.8478,-4.559,-0.0464
1984-11,95.7,166.09,170.41,162.99,163.58,166.2719,83680000.0,-1.5112,4.5524,0.8475,-0.8494,-0.6231,0.1599
1984-12,92.9,163.58,169.03,161.54,167.24,164.48,89050000.0,2.2374,4.6366,0.647,-0.847,-2.9258,0.042
1985-01,96.0,167.2,180.27,163.36,179.63,171.6127,121532272.7273,7.4085,10.3514,0.869,-0.8389,3.3369,-0.1118
1985-02,93.7,179.63,183.95,177.75,181.18,180.8847,115506315.7895,0.8629,3.488,0.7043,-0.8379,-2.3958,-0.2983
1985-03,93.7,181.18,183.89,176.53,180.66,179.42,102528095.2381,-0.287,4.1693,0.7043,-0.8382,0.0,-0.3744
1985-04,94.6,180.66,183.61,177.86,179.83,180.6186,94375238.0952,-0.4594,3.2329,0.7688,-0.8388,0.9605,-0.4201
1985-05,91.8,179.83,189.98,178.35,189.55,184.8991,106833636.3636,5.4051,6.5209,0.5683,-0.8324,-2.9598,-0.5006
1985-06,96.5,189.55,191.85,185.03,191.85,188.886,105850000.0,1.2134,3.6859,0.9048,-0.8309,5.1198,-0.4454
1985-07,94.0,191.85,196.07,189.3,190.92,192.5445,111957727.2727,-0.4848,3.5763,0.7258,-0.8315,-2.5907,-0.4955
1985-08,92.4,190.92,192.17,186.1,188.63,188.3064,87418181.8182,-1.1995,3.2617,0.6112,-0.833,-1.7021,-0.4758
1985-09,92.1,188.63,188.8,179.45,182.08,184.2058,97903157.8947,-3.4724,5.2104,0.5897,-0.8373,-0.3247,-0.3128
1985-10,88.4,182.06,190.15,181.16,189.82,186.1804,110575652.1739,4.2509,4.9625,0.3248,-0.8323,-4.0174,-0.3001
1985-11,90.9,189.82,203.4,189.37,202.17,197.4455,122268500.0,6.5062,7.4088,0.5038,-0.8242,2.8281,-0.2902
1985-12,93.9,202.17,213.08,200.1,211.28,207.2576,133541904.7619,4.5061,6.4868,0.7186,-0.8182,3.3003,-0.2012
